,sepal length,sepal width,petal length,petal width,class,Prob
132,6.4,2.8,5.6,2.2,0,0.9999931703977356
133,6.3,2.8,5.1,1.5,0,0.60497962671321
134,6.1,2.6,5.6,1.4,0,0.9999571581715089
135,7.7,3.0,6.1,2.3,0,0.9999990690438
136,6.3,3.4,5.6,2.4,0,0.9999956681540209
137,6.4,3.1,5.5,1.8,0,0.9268411413344978
138,6.0,3.0,4.8,1.8,0,0.7492469048270024
139,6.9,3.1,5.4,2.1,0,0.9990044995973119
140,6.7,3.1,5.6,2.4,0,0.9999999266021721
141,6.9,3.1,5.1,2.3,0,0.999999933801099
142,5.8,2.7,5.1,1.9,0,0.9951782463368104
143,6.8,3.2,5.9,2.3,0,0.9999757248498848
144,6.7,3.3,5.7,2.5,0,0.9999999775548134
145,6.7,3.0,5.2,2.3,0,0.9999999242475981
146,6.3,2.5,5.0,1.9,0,0.9992266478942542
147,6.5,3.0,5.2,2.0,0,0.9947019429799785
148,6.2,3.4,5.4,2.3,0,0.9999558657132115
149,5.9,3.0,5.1,1.8,0,0.8510955056321956
