,sepal length,sepal width,petal length,petal width,class,Prob
50,7.0,3.2,4.7,1.4,0,0.9999341354038428
51,6.4,3.2,4.5,1.5,0,0.9994814837760434
52,6.9,3.1,4.9,1.5,0,0.9980053086884182
53,5.5,2.3,4.0,1.3,0,0.9935740398311793
54,6.5,2.8,4.6,1.5,0,0.9956054496706047
55,5.7,2.8,4.5,1.3,0,0.9831620749820873
56,6.3,3.3,4.7,1.6,0,0.9925817857201786
57,4.9,2.4,3.3,1.0,0,0.9999827220979829
58,6.6,2.9,4.6,1.3,0,0.9996659506201434
59,5.2,2.7,3.9,1.4,0,0.9880873563414945
60,5.0,2.0,3.5,1.0,0,0.9998183876233219
61,5.9,3.0,4.2,1.5,0,0.9975780849276646
62,6.0,2.2,4.0,1.0,0,0.999951917805297
63,6.1,2.9,4.7,1.4,0,0.9841358176410162
64,5.6,2.9,3.6,1.3,0,0.9999737563679914
65,6.7,3.1,4.4,1.4,0,0.999976708104928
66,5.6,3.0,4.5,1.5,0,0.9555339035702293
67,5.8,2.7,4.1,1.0,0,0.9996906757704925
68,6.2,2.2,4.5,1.5,0,0.516740054403292
69,5.6,2.5,3.9,1.1,0,0.9999196356294838
70,5.9,3.2,4.8,1.8,2,0.8048543099511389
71,6.1,2.8,4.0,1.3,0,0.9999781966787505
72,6.3,2.5,4.9,1.5,0,0.5122130003068884
73,6.1,2.8,4.7,1.2,0,0.9624369873226336
74,6.4,2.9,4.3,1.3,0,0.9999614470184578
75,6.6,3.0,4.4,1.4,0,0.9999444272219918
76,6.8,2.8,4.8,1.4,0,0.9976376520360706
77,6.7,3.0,5.0,1.7,0,0.8040507012598388
78,6.0,2.9,4.5,1.5,0,0.9878306961460319
79,5.7,2.6,3.5,1.0,0,0.9999996352427508
80,5.5,2.4,3.8,1.1,0,0.9999290264112133
81,5.5,2.4,3.7,1.0,0,0.9999833899393998
82,5.8,2.7,3.9,1.2,0,0.9999746533186936
83,6.0,2.7,5.1,1.6,2,0.9231820373509585
84,5.4,3.0,4.5,1.5,0,0.8988250512734393
85,6.0,3.4,4.5,1.6,0,0.9931506290249323
86,6.7,3.1,4.7,1.5,0,0.9991758274938022
87,6.3,2.3,4.4,1.3,0,0.9969216298289455
88,5.6,3.0,4.1,1.3,0,0.9995535769940422
89,5.5,2.5,4.0,1.3,0,0.9979337482658941
90,5.5,2.6,4.4,1.2,0,0.9692905913170614
91,6.1,3.0,4.6,1.4,0,0.9957256252850383
92,5.8,2.6,4.0,1.2,0,0.9999153851889827
93,5.0,2.3,3.3,1.0,0,0.9999889053746556
94,5.6,2.7,4.2,1.3,0,0.9976766141629283
95,5.7,3.0,4.2,1.2,0,0.9994713097419922
96,5.7,2.9,4.2,1.3,0,0.9992678556374447
97,6.2,2.9,4.3,1.3,0,0.9998825195502234
98,5.1,2.5,3.0,1.1,0,0.9999975034128069
99,5.7,2.8,4.1,1.3,0,0.9995713844312312
100,6.3,3.3,6.0,2.5,2,0.9999999999354692
101,5.8,2.7,5.1,1.9,2,0.9999232776181954
102,7.1,3.0,5.9,2.1,2,0.9999892721114326
103,6.3,2.9,5.6,1.8,2,0.9980548450859974
104,6.5,3.0,5.8,2.2,2,0.9999997823262784
105,7.6,3.0,6.6,2.1,2,0.999999670690512
106,4.9,2.5,4.5,1.7,2,0.9992245110023947
107,7.3,2.9,6.3,1.8,2,0.9999799078342149
108,6.7,2.5,5.8,1.8,2,0.9999795528020463
109,7.2,3.6,6.1,2.5,2,0.9999999926406516
110,6.5,3.2,5.1,2.0,2,0.9974530341444294
111,6.4,2.7,5.3,1.9,2,0.9997990199306342
112,6.8,3.0,5.5,2.1,2,0.9999860580143676
113,5.7,2.5,5.0,2.0,2,0.99999987957125
114,5.8,2.8,5.1,2.4,2,0.9999999999999927
115,6.4,3.2,5.3,2.3,2,0.9999999916609326
116,6.5,3.0,5.5,1.8,2,0.984371216133907
117,7.7,3.8,6.7,2.2,2,0.999856162260537
118,7.7,2.6,6.9,2.3,2,0.9999999999985683
119,6.0,2.2,5.0,1.5,2,0.9896884066198302
120,6.9,3.2,5.7,2.3,2,0.9999999289634522
121,5.6,2.8,4.9,2.0,2,0.9999964047130698
122,7.7,2.8,6.7,2.0,2,0.9999999563790435
123,6.3,2.7,4.9,1.8,2,0.9904774871569849
124,6.7,3.3,5.7,2.1,2,0.9997414245352948
125,7.2,3.2,6.0,1.8,2,0.9941572728280026
126,6.2,2.8,4.8,1.8,2,0.9769384625836158
127,6.1,3.0,4.9,1.8,2,0.9238273929297536
128,6.4,2.8,5.6,2.1,2,0.9999994414993728
129,7.2,3.0,5.8,1.6,2,0.9809647162319973
130,7.4,2.8,6.1,1.9,2,0.9999582389959902
131,7.9,3.8,6.4,2.0,2,0.9875363437575142
132,6.4,2.8,5.6,2.2,2,0.9999999891919682
133,6.3,2.8,5.1,1.5,0,0.5117322141545346
134,6.1,2.6,5.6,1.4,2,0.999873290175927
135,7.7,3.0,6.1,2.3,2,0.9999999876443101
136,6.3,3.4,5.6,2.4,2,0.9999999961755202
137,6.4,3.1,5.5,1.8,2,0.9749198925573576
138,6.0,3.0,4.8,1.8,2,0.9306361770800855
139,6.9,3.1,5.4,2.1,2,0.9999439614205934
140,6.7,3.1,5.6,2.4,2,0.9999999999328614
141,6.9,3.1,5.1,2.3,2,0.99999999888662
142,5.8,2.7,5.1,1.9,2,0.9999232776181954
143,6.8,3.2,5.9,2.3,2,0.999999906266086
144,6.7,3.3,5.7,2.5,2,0.9999999999898304
145,6.7,3.0,5.2,2.3,2,0.9999999996185289
146,6.3,2.5,5.0,1.9,2,0.9999747061011975
147,6.5,3.0,5.2,2.0,2,0.9996755925297562
148,6.2,3.4,5.4,2.3,2,0.9999998583980373
149,5.9,3.0,5.1,1.8,2,0.976632731841102
